,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
203165,-34.578137,-58.4819797,Villa Urquiza,departamento,1,1,37,34,89000
9872,-34.5890663246,-58.3831364889,Recoleta,departamento,1,1,40,37,150000
428829,-34.661831,-58.483288,Mataderos,ph,2,2,182,182,79000
330188,-34.5732173,-58.4846834,Villa Urquiza,departamento,2,1,38,37,74800
449062,-34.629449,-58.457807,Flores,departamento,5,4,112,102,219000
327364,-34.5951648,-58.4284275,Palermo,departamento,2,1,37,33,84000
420379,-34.6226746,-58.4606728,Flores,departamento,3,2,63,63,130000
210957,-34.5661773,-58.437423,Palermo,departamento,4,3,193,193,420000
76803,-34.6287056303,-58.4448409081,Caballito,departamento,3,2,68,60,167000
7472,-34.6353836,-58.3752916,Barracas,departamento,3,3,76,70,320000
115470,-34.6095577,-58.362674,Puerto Madero,departamento,2,1,58,54,307000
300030,-34.5805275,-58.4650258,Villa Urquiza,departamento,3,2,67,67,130000
31330,-34.6166917,-58.443128,Caballito,departamento,1,1,44,38,93492
366897,-34.6503931,-58.4924942,Mataderos,casa,3,2,247,127,280000
263956,-34.5825783,-58.4234221,Palermo,departamento,3,2,83,78,375000
86117,-34.6246088,-58.4405495,Caballito,ph,3,2,94,52,135000
442361,-34.5674374,-58.4728136,Belgrano,departamento,2,1,38,38,110000
115557,-34.5736845,-58.5001778,Villa Urquiza,departamento,1,1,36,36,110000
211421,-34.6015135606,-58.3804321968,San Nicolás,departamento,3,2,61,59,105000
160424,-34.611826,-58.516024,Villa Devoto,departamento,2,1,49,49,113900
176592,-34.5700432,-58.4888771,Villa Urquiza,departamento,2,1,44,41,100000
293782,-34.6079849387,-58.3848582171,San Nicolás,departamento,2,1,55,55,85000
18653,-34.5933741,-58.4276324,Palermo,casa,5,4,135,135,449999
197351,-34.5981438,-58.3859507,Retiro,departamento,3,2,99,99,165000
270094,-34.6174627,-58.4441978,Caballito,departamento,2,1,46,43,90000
66834,-34.6000049,-58.4432914,Villa Crespo,departamento,2,1,45,43,127000
311223,-34.592111,-58.4329192,Palermo,departamento,1,1,46,43,85900
191736,-34.6211395,-58.4432507,Caballito,departamento,3,3,72,70,112500
456832,-34.5853533,-58.4875271,Parque Chas,ph,3,2,162,162,159900
272227,-34.615561,-58.4030587,Balvanera,departamento,2,1,44,44,70000
281894,-34.577602,-58.4975492,Villa Urquiza,departamento,1,1,75,43,94000
455381,-34.568079,-58.4857716,Villa Urquiza,departamento,2,1,55,49,129999
324394,-34.614978,-58.44021,Caballito,departamento,3,2,75,68,195000
22960,-34.6364043,-58.3752705,Barracas,departamento,3,2,88,88,139000
197731,-34.6131696186,-58.4334572952,Caballito,departamento,3,2,65,61,193000
291441,-34.5828205552,-58.4018775053,Palermo,departamento,6,3,166,155,530000
11105,-34.6114969,-58.4427731,Caballito,departamento,3,2,79,79,160000
142014,-34.5530902,-58.451495,Belgrano,departamento,4,3,176,136,511850
459794,-34.5469034,-58.4787972,Saavedra,departamento,1,1,50,43,126000
95086,-34.595402147,-58.3995936286,Barrio Norte,departamento,2,1,48,41,115000
218994,-34.58221834118078,-58.42513596685544,Palermo,departamento,2,1,41,37,90000
31903,-34.6360178,-58.4697847,Flores,departamento,4,3,100,100,140000
170909,-34.5493962,-58.4709904,Nuñez,departamento,3,2,68,68,164000
377448,-34.5963805,-58.4205999,Palermo,departamento,4,3,125,98,295000
103852,-34.609396,-58.448392,Caballito,departamento,2,1,42,38,109000
349083,-34.617499935,-58.4183546577,Almagro,departamento,2,1,34,31,68000
176003,-34.593343,-58.4283115,Palermo,departamento,2,1,60,57,141500
195403,-34.574520733,-58.4589125747,Colegiales,departamento,3,2,54,54,119000
431348,-34.5706440578,-58.4845215082,Villa Urquiza,departamento,3,2,80,72,199000
284370,-34.6063848337,-58.4579730034,Parque Centenario,departamento,2,1,50,45,103520
388426,-34.595802104,-58.381350054,Retiro,departamento,2,1,53,53,110000
339848,-34.5873532,-58.3996138,Recoleta,departamento,4,3,93,83,205000
72655,-34.6006877,-58.5143934,Villa Devoto,departamento,2,1,59,45,140000
33024,-34.620791,-58.466994,Flores,departamento,2,1,42,40,70000
434674,-34.59944,-58.4860741,Villa del Parque,departamento,2,1,50,48,110000
361930,-34.5966747,-58.4244545,Palermo,casa,6,5,200,180,445000
336279,-34.5435097659,-58.4820459228,Saavedra,departamento,2,1,52,45,85384
436442,-34.6232663,-58.4442905,Caballito,departamento,4,3,96,92,185000
134975,-34.5845933678,-58.4170807607,Palermo,departamento,2,1,35,35,97000
341391,-34.6281865,-58.4584284,Flores,departamento,2,1,44,44,84900
165456,-34.5883363,-58.5052721,Villa Pueyrredón,departamento,3,2,72,64,155000
203809,-34.5825969,-58.4144878,Palermo,departamento,4,2,136,130,380000
380171,-34.6044798,-58.4926129,Villa del Parque,departamento,3,2,68,64,165000
111231,-34.5569270756,-58.4725138508,Saavedra,departamento,3,2,105,73,179000
415984,-34.625236,-58.3789481,Constitución,departamento,1,1,35,32,62146
9320,-34.545374,-58.460792,Nuñez,departamento,4,3,201,100,500000
33496,-34.597159,-58.421187,Palermo,departamento,3,2,60,60,138000
187767,-34.5921111,-58.3994681,Recoleta,departamento,3,2,62,52,140000
58011,-34.6600786,-58.5031222,Mataderos,departamento,2,1,44,34,89000
435992,-34.5830927,-58.4349582,Palermo,departamento,1,1,41,34,104000
21010,-34.6218712,-58.4276246,Caballito,departamento,2,1,44,42,123700
257076,-34.5949445,-58.3910974,Recoleta,departamento,4,3,214,214,595000
426056,-34.5868258,-58.4235756,Palermo,departamento,2,1,44,42,105000
257950,-34.590146,-58.400191,Barrio Norte,departamento,2,1,60,60,130000
397050,-34.620791,-58.466994,Flores,departamento,3,2,61,57,109500
289122,-34.5634095,-58.4431289,Belgrano,departamento,4,3,161,151,365000
8757,-34.5970415161,-58.4634876251,Villa Crespo,casa,5,4,195,170,260000
162618,-34.5776376,-58.4953844,Villa Urquiza,departamento,2,1,76,56,165000
257176,-34.5978839,-58.4060546,Recoleta,departamento,3,2,82,82,270000
123141,-34.6248741,-58.4179252,Boedo,departamento,2,1,61,39,95000
171302,-34.5493962,-58.4709904,Saavedra,departamento,3,2,68,68,164000
225660,-29.140755,-59.638836,Liniers,casa,3,2,110,76,87000
248368,-34.60352072517273,-58.38705279564318,Tribunales,departamento,6,3,117,100,220000
17305,-34.614487,-58.4809403,Villa Santa Rita,departamento,3,2,65,56,115600
